Order,Family,Genus,Species,Common_names,
MONOTREMATA,ORNITHORHYNCHIDAE,Ornithorhynchus,anatinus,"Platypus, Duck-billed Platypus",
MONOTREMATA,TACHYGLOSSIDAE,Tachyglossus,aculeatus,"Short-beaked Echidna, Kangaroo Island Echidna",
MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,attenboroughi,"Sir David's Long-beaked Echidna, Cyclops Long-beaked Echidna, Attenborough's Echidna",
MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,bartoni,Eastern Long-beaked Echidna,
MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,bruijnii,"Western Long-beaked Echidna, Long-nosed Spiny Anteater, New Guinea Long-nosed Echidna, Long-beaked Echidna, Long-nosed Echidna",
DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,derbianus,Central American Woolly Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,lanatus,"Brown-eared Wooly Opossum, Western Woolly Opossum, Woolly Opossum",
DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,philander,Bare-tailed Woolly Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Caluromysiops,irrupta,Black-shouldered Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Chacodelphys,formosa,,
DIDELPHIMORPHIA,DIDELPHIDAE,Chironectes,minimus,"Water Opossum, Yapok",
DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,agricolai,Agricola's Gracile Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,chacoensis,Chacoan Mouse Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,guahybae,Guahiba Gracile Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,ignitus,"Red-bellied Gracile Mouse Opossum, Red-bellied Gracile Opossum",
DIDELPHIMORPHIA,DIDELPHIDAE,Cryptonanus,unduaviensis,,
DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,albiventris,White-eared Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,aurita,"Brazilian Common Opossum, Big-eared Opossum",
DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,imperfecta,Guianan White-eared Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,marsupialis,"Black-eared Opossum, Common Opossum, Southern Opossum",
DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,pernigra,Andean White-eared Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,virginiana,Virginia Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Glironia,venusta,Bushy-tailed Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,aceramarcae,"Aceramarca Gracile Mouse Opossum, Bolivian Gracile Opossum",
DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,agilis,"Agile Gracile Opossum, Agile Mouse Opossum, Agile Gracile Mouse Opossum",
DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,dryas,Wood Sprite Gracile Mouse Opossum,
DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,emiliae,"Emilia's Gracile Mouse Opossum, Emilia's Gracile Opossum",
