Species,Common_name
Ablepharus bivittatus,"E: Twin-striped Skink, Two-Streaked Snake-Eyed Skink
G: Gestreiftes Natternauge"
Ablepharus budaki,
Ablepharus chernovi,Chernov’s Skink
Ablepharus darvazi,
Ablepharus deserti,Desert Lidless Skink
Ablepharus grayanus,Minor Snake-eyed Skink
Ablepharus kitaibelii,"E: Juniper Skink, Snake-eyed skink
G: Johanniseidechse"
Ablepharus lindbergi,"E: Lindberg’s Twin-striped Skink, Lindberg’s Snake-Eyed Skink
G: Lindbergs Natternauge"
Ablepharus pannonicus,"E: Asian Snake-eyed Skink
G: Asiatisches Natterauge"
Ablepharus rueppellii,"E: Rueppel’s Snake-eyed skink
G: Rueppels Johanniseidechse"
Abronia anzuetoi,Anzuetoi Arboreal Alligator Lizard
Abronia aurita,Cope's Arboreal Alligator Lizard
Abronia bogerti,"E: Bogert's Arboreal Alligator Lizard
S: Escorpión Arborícola de Bogert"
Abronia campbelli,Campbell's Alligator Lizard
Abronia chiszari,"E: Chiszar's Arboreal Alligator Lizard
S: Escorpión Arborícola de Chiszar"
Abronia cuetzpali,
Abronia deppii,"S: Escorpión Arboricola de Deppe
E: Deppe’s Arboreal Alligator Lizard"
Abronia fimbriata,
Abronia frosti,Frost’s Arboreal Alligator Lizard
Abronia fuscolabialis,"S: Escorpión Arboricola del Zempoaltepec
S: Mount Zempoaltepec Arboreal Alligator Lizard"
Abronia gaiophantasma,Brilliant Arboreal Alligator Lizard
Abronia graminea,"E: Sierra de Tehuacan Arboreal Alligator Lizard, Terrestrial Arboreal Alligator Lizard
G: Grüne Baumschleiche
S: Escorpión Arboricola de Tehuacá"
Abronia leurolepis,"S: Escorpión Arboricola de Escamas Planas
E: Flat-scaled Arboreal Alligator Lizard, Smoothback arboreal alligator lizard"
Abronia lythrochila,"E: Red-lipped Arboreal Alligator Lizard
S: Escorpión Arboricola de Labios Rojos"
Abronia martindelcampoi,"S: Escorpión Arboricola de Martin del Campo
E: Martín del Campo’s Arboreal Alligator Lizard"
Abronia matudai,"S: Escorpión Arboricola de Matuda
E: Matuda's Arboreal Alligator Lizard"
Abronia meledona,
Abronia mitchelli,"E: Mitchell's Arboreal Alligator Lizard
S: Escorpión Arboricola de Mitchell"
Abronia mixteca,"S: Escorpión Arboricola Mixteco
E: Mixtecan Arboreal Alligator Lizard"
Abronia montecristoi,MonteCristo Arboreal Alligator Lizard
Abronia oaxacae,"E: Oaxacan Arboreal Alligator Lizard
S: Escorpión Arboricola de Oaxaca"
Abronia ochoterenai,"S: Escorpión Arboricola de Ochoterena
E: Ochoterena’s Arboreal Alligator Lizard, Northern Chiapas Arboreal Alligator Lizard"
Abronia ornelasi,"S: Escorpión Arboricola de Ornelas
E: Ornelas’s Arboreal Alligator Lizard, Cerro Baul Alligator Lizard"
Abronia ramirezi,"E: Ramirez's Alligator Lizard
S:  Escorpión Arboricola de Ramirez"
Abronia reidi,"S: Escorpión Arboricola de Reid
E: Reid's Arboreal Alligator Lizard"
Abronia salvadorensis,Salvador Arboreal Alligator Lizard
Abronia smithi,"E: Smith's Arboreal Alligator Lizard
S: Escorpión Arborícola de Smith"
Abronia taeniata,"S: Escorpión Arborícola de Bandas
E: Banded Arboreal Alligator Lizard, Bromeliad Arboreal Alligator Lizard"
Abronia vasconcelosii,G: Guatemala-Baumschleiche
Acanthocercus adramitanus,"E: Anderson's Rock Agama, Hadramaut Agama
G: Hadramautagame"
Acanthocercus annectans,"Eritrean Rock Agama, Eritrean Ridgeback Agama"
Acanthocercus atricollis,"E: Blue-headed tree agama, Black-necked (Ridgeback) agama, Southern Tree Agama, Blue-throated Agama
G: Blaukehlagame"
Acanthocercus branchi,
Acanthocercus cyanogaster,"Blue-bellied Ridgeback agama, Black-necked tree agama"
Acanthocercus guentherpetersi,Peter’s Ridgeback Agama
Acanthocercus phillipsii,Philipps’ Ridgeback Agama
Acanthocercus yemensis,
Acanthochelys macrocephala,"E: Big-headed Pantanal Swamp Turtle
G: Pantanal-Plattschildkröte"
Acanthochelys pallidipectoris,"E: Chaco Side-necked Turtle
G: Sporn-Plattschildkröte"
Acanthochelys radiolata,"E: Brazilian Radiolated Swamp Turtle
G: STrahlen-Plattschildkröte"
Acanthochelys spixii,"E: Black Spine-necked Swamp Turtle
G: Stachelhals-Plattschildkröte"
Acanthodactylus aegyptius,G: Ägyptischer Fransenfinger
Acanthodactylus ahmaddisii,G: Jordanischer Pantherfransenfinger
Acanthodactylus arabicus,Arabian Fringe-fingered Lizard
Acanthodactylus aureus,"E: Golden Fringe-fingered Lizard
G: Gold-Fransenfinger"
Acanthodactylus bedriagai,Bedriaga's Fringe-fingered Lizard
Acanthodactylus beershebensis,
Acanthodactylus blanci,White Fringe-fingered Lizard
Acanthodactylus blanfordii,Blanford's Fringe-fingered Lizard
Acanthodactylus boskianus,"E: Bosk's Fringe-fingered Lizard, Bosc’s Fringe-toed lizard
G: Boscs Fransenfinger
F: Acanthodactyle de Bosc"
Acanthodactylus boueti,Chabanaud's Fringe-fingered Lizard
Acanthodactylus busacki,Busack's Fringe-fingered Lizard
Acanthodactylus cantoris,"E: Indian Fringe-fingered Lizard
G: Pakistanischer Fransenfinger, Indischer Fransenfinger"
Acanthodactylus dumerilii,"Duméril's Fringe-fingered Lizard
G: Dumérils Fransenfinger"
Acanthodactylus erythrurus,"E: Fringe-fingered Lizard
G: Europäischer Fransenfinger
D: Roodstaartfransjenhagedis"
Acanthodactylus felicis,"Cat Fringe-fingered Lizard, South Arabian Fringe-toed Lizard"
Acanthodactylus gongrorhynchatus,Saudi Fringe-fingered Lizard
Acanthodactylus grandis,Giant Fringe-fingered Lizard
Acanthodactylus guineensis,Guinea Fringe-fingered Lizard
Acanthodactylus haasi,"Haas' Fringe-fingered Lizard, Haas’s Fringe-toed Lizard"
Acanthodactylus hardyi,Hardy’s Fringe-fingered Lizard
Acanthodactylus harranensis,
Acanthodactylus khamirensis,
Acanthodactylus longipes,"Long Fringe-fingered Lizard
G: Dünen-Fransenfinger, Langfüssiger Fransenfinger"
Acanthodactylus maculatus,Spotted Fringe-fingered Lizard
Acanthodactylus margaritae,
Acanthodactylus masirae,Masira Fringe-fingered Lizard
Acanthodactylus micropholis,Yellowtail Fringe-fingered Lizard
Acanthodactylus nilsoni,Nilson's Spiny-Toed Lizard
Acanthodactylus opheodurus,"Snake-tailed Fringe-toed Lizard, Arnold's Fringe-fingered Lizard"
Acanthodactylus orientalis,
Acanthodactylus pardalis,"Egyptian Fringe-fingered Lizard
G: Ägyptischer Pantherfransenfinger, Ägyptischer Leopardfransenfinger"
Acanthodactylus robustus,Robust Fringe-fingered Lizard
Acanthodactylus savignyi,Savigny's Fringe-fingered Lizard
Acanthodactylus schmidti,"Schmidt's Fringe-fingered Lizard, Schmidt’s Fringe-toed Lizard"
Acanthodactylus schreiberi,Schreiber's Fringe-fingered Lizard
Acanthodactylus scutellatus,Nidua Fringe-fingered Lizard
Acanthodactylus senegalensis,G: Senegal-Fransenfinger
Acanthodactylus spinicauda,Doumergue's Fringe-fingered Lizard
Acanthodactylus taghitensis,
Acanthodactylus tilburyi,Tilbury's Fringe-fingered Lizard
Acanthodactylus tristrami,Lebanon Fringe-fingered Lizard
Acanthodactylus yemenicus,Yemen Fringe-fingered Lizard
Acanthophis antarcticus,"E: Common death adder
G: Todesotter"
Acanthophis cryptamydros,Kimberley death adder
Acanthophis hawkei,
Acanthophis laevis,
Acanthophis praelongus,"E: Northern death adder
G: Nördliche Todesotter"
Acanthophis pyrrhus,Desert Death Adder
Acanthophis rugosus,G: Rauhnackige Todesotter
Acanthophis wellsi,
Acanthosaura armata,"E: Armored Pricklenape, Peninsular Horned Tree Lizard
G: Grosser Nackenstachler"
Acanthosaura bintangensis,"Bukit Larut Mountain Horned Agamid, Bintang Horned Tree Lizard"
Acanthosaura brachypoda,
Acanthosaura capra,"E: Green Pricklenape
G: Grüner Nackenstachler"
Acanthosaura cardamomensis,
Acanthosaura coronata,
Acanthosaura crucigera,"E: Boulenger's Pricklenape, Masked Horned Tree Lizard
G: Masken-Nackenstachler, Winkelkopfagame"
Acanthosaura lepidogaster,"E: Brown Pricklenape
G: Schwarzkopf-Nackenstachler"
Acanthosaura nataliae,
Acanthosaura phuketensis,"Thai: Kingkakhaownaam Phuket
English: Phuket Horned Tree Agamid
French: Acanthosaure de Phuket
German: Phuket-Nackenstachler
Dutch: Phuketstekelnekagame"
Acanthosaura titiwangsaensis,"Malayan Mountain Horned Agamid, Titiwangsa Horned Tree Lizard"
Achalinus ater,Bourret's Odd-scaled Snake
Achalinus formosanus,Formosa Odd-scaled Snake
Achalinus hainanus,Hainan Odd-scaled Snake
Achalinus jinggangensis,Zong's Odd-scaled Snake
Achalinus meiguensis,Szechwan Odd-scaled Snake
Achalinus niger,Black Odd-scaled Snake
Achalinus rufescens,Boulenger's Odd-scaled Snake
Achalinus spinalis,"Peters' Odd-scaled Snake, Japanese odd-scaled snake"
Achalinus werneri,Amami odd-scaled snake
Acontias aurantiacus,"fitzsimonsi: FitzSimon's Legless Skink
parietalis: Maputaland Legless Skink"
Acontias bicolor,
Acontias breviceps,"Shortheaded Legless Skink, Shorthead Lance Skink"
Acontias cregoi,Cregoe's Legless Skink
Acontias gariepensis,Mier Kalahari Legless Skink
Acontias gracilicauda,"Thin-tailed Legless Skink, Slendertail Lance Skink"
Acontias jappi,
Acontias kgalagadi,"Kgalagadi Legless Skink
subtaeniatus: Stripe-bellied Legless Skink"
Acontias lineatus,"Striped Dwarf Legless Skink, Lined Lance Skink
grayii: Gray’s Dwarf Legless Skink"
Acontias litoralis,Coastal Dwarf Legless Skink
Acontias meleagris,"Cape Legless Skink, Golden Sand Skink; Spotted Slow Skink; Thick-tailed Blindworm, Erdslang, Linnaeus' Lance Skink"
Acontias namaquensis,"Namaqua Legless Skink, Namaqua Lance Skink"
Acontias occidentalis,Savanna Legless Skink
Acontias orientalis,"Eastern Striped Blindworm, Eastern Cape Legless Skink"
Acontias percivali,"Percival's Lance Skink, Teita Limbless skink
tasmani: Tasman's Blindworrn or Legless Skink"
Acontias plumbeus,"Giant Legless Skinks, Giant Lance Skink"
Acontias poecilus,Variable Legless Skink
Acontias richardi,Richard’s Legless Skink
Acontias rieppeli,Wood-bush Legless Skink
Acontias schmitzi,
Acontias tristis,Namaqualand Dwarf Legless Skink
Acrantophis dumerili,"E: Dumeril's boa
G: Dumerils Madagaskarboa"
Acrantophis madagascariensis,"E: Madagascar ground boa
G: nördliche Madagaskarboa"
Acratosaura mentalis,Amaral's Colobosaura
Acratosaura spinosa,Spiny Colobosaura
Acrochordus arafurae,Arafura filesnake
Acrochordus granulatus,"E: Little filesnake, Marine File Snake, Wart Snake
G: Warzenschlange, Südostasiatische Warzenschlange"
Acrochordus javanicus,"E: Javan File Snake, Elephant Trunk Snake
G: Java-Warzenschlange"
Acutotyphlops banaorum,
Acutotyphlops infralabialis,Red Blind Snake
Acutotyphlops kunuaensis,Kunua Blind Snake
Acutotyphlops solomonis,
Acutotyphlops subocularis,Bismarck sharp-nosed blindsnake
Adelophis copei,Cope's Mountain Meadow Snake
Adelophis foxi,Fox's Mountain Meadow Snake
Adelphicos daryi,Dary's Burrowing Snake
Adelphicos ibarrorum,
Adelphicos latifasciatum,Oaxacan Burrowing Snake
Adelphicos newmanorum,Middle American Burrowing Snake
Adelphicos nigrilatum,Burrowing Snake
Adelphicos quadrivirgatum,Middle American Burrowing Snake
Adelphicos sargii,"E: Sargi’s earth Snake
S: zacatera de Sargi"
Adelphicos veraepacis,Stuart's Burrowing Snake
Adelphicos visoninum,Middle American Burrowing Snake
Adercosaurus vixadnexus,
Adolfus africanus,"Multi-scaled Forest Lizard, Green-bellied Forest Lizard"
Adolfus alleni,Alpine Meadow Lizard
Adolfus jacksoni,"E: Jackson’s Forest Lizard
G: Jacksons Gebirgseidechse"
Adolfus masavaensis,
Aeluroglena cucullata,Somali Snake
Aeluroscalabotes felinus,"E: Cat Gecko
G: Fuchsgesicht-Lidgecko"
Afroedura africana,African Rock Gecko
Afroedura amatolica,"Amatola Flat Gecko, Amatola Rock Gecko"
Afroedura bogerti,Bogert's Rock Gecko
Afroedura broadleyi,Broadley’s Rock Gecko
Afroedura gorongosa,
Afroedura granitica,Granite Rock Gecko
Afroedura haackei,"Haacke’s Flat Gecko, Haacke’s Rock Gecko"
Afroedura halli,"Hall’s Flat Gecko, Inland Rock Gecko"
Afroedura hawequensis,"Haweqa Flat Gecko, Cape Rock Gecko"
Afroedura karroica,"Karoo Flat Gecko, Inland Rock Gecko"
Afroedura langi,"Lang’s Flat Gecko, Lang’s Rock Gecko"
Afroedura leoloensis,Leolo Rock Gecko
Afroedura loveridgei,Loveridge’s Rock Gecko
Afroedura major,"Swazi Flat gecko, Major Rock Gecko"
Afroedura maripi,Maripi Rock Gecko
Afroedura marleyi,"Marley’s Flat Gecko, Marley’s Rock Gecko"
Afroedura multiporis,"Woodbush Flat Gecko, Multipored Rock Gecko"
Afroedura namaquensis,"Namaqua Flat Gecko, Namaqua Rock Gecko"
Afroedura nivaria,"Mountain Flat Gecko, Drakensberg Rock Gecko"
Afroedura pienaari,Pienaar’s Rock Gecko
Afroedura pondolia,"Pondo Flat Gecko, Pondo Rock Gecko"
Afroedura pongola,Pongola Rock Gecko
Afroedura rondavelica,Rondavels Rock Gecko
Afroedura rupestris,
Afroedura tembulica,"Tembu Flat gecko, Queenstown Rock Gecko"
Afroedura tirasensis,African Rock Gecko
Afroedura transvaalica,"Transvaal Rock Gecko, Transvaal Flat Gecko, Zimbabwe Flat Gecko, Limpopo Flat Gecko"
Afroedura waterbergensis,Waterberg Rock Gecko
Afrogecko ansorgii,
Afrogecko porphyreus,Marbled leaf-toed gecko
Afronatrix anoscopus,African Brown Water Snake
Afrotyphlops angeli,Mann's Worm Snake
Afrotyphlops angolensis,Angola blind snake
Afrotyphlops anomalus,"Angolan giant blind-snake, Anomalous Beaked Snake"
Afrotyphlops bibronii,Bibron's Blind Snake
Afrotyphlops blanfordii,Blanford’s blind-snake
Afrotyphlops brevis,Somali giant blind-snake 
Afrotyphlops calabresii,Calabresi’s blind-snake
Afrotyphlops congestus,Blotched blind snake
Afrotyphlops cuneirostris,"Wedge-snouted blind-snake, Wedgenose Worm Snake"
Afrotyphlops decorosus,"Cameroon gracile blind-snake, Cameroon Worm Snake"
Afrotyphlops elegans,Elegant Worm Snake
Afrotyphlops fornasinii,Fornasini's Blind Snake
Afrotyphlops gierrai,Usambara Spotted Worm Snake
Afrotyphlops kaimosae,Kakamega blind-snake
Afrotyphlops liberiensis,Guinea Blind Snake
Afrotyphlops lineolatus,"Common Lined Worm Snake, Lineolate Blind Snake"
Afrotyphlops manni,Mann's Worm Snake
